time,pos1,pos2,vel1,vel2,tau1,tau2,K11,K12,K13,K14,K21,K22,K23,K24,k1,k2
0, 0, 0, 0, 0, 0, -1.11482, 0, 0, 0, 0, 0.0482176, 0.152326, -0.059779, -0.0465464, 0, 0.000899282
0.025, 0.0213901, -0.0419544, 1.70292, -3.34144, 0, -0.504661, 0, 0, 0, 0, 0.0120293, 0.13261, -0.0548718, -0.0453997, 0, 0.00104539
0.05, 0.0725985, -0.142593, 2.372, -4.67013, 0, -0.195917, 0, 0, 0, 0, -0.015421, 0.107798, -0.0488866, -0.0438279, 0, 0.00101448
0.075, 0.132884, -0.261709, 2.42685, -4.8158, 0, -0.122158, 0, 0, 0, 0, -0.0334838, 0.0832248, -0.0419477, -0.0417581, 0, 0.00121276
0.1, 0.191432, -0.378658, 2.23687, -4.50452, 0, -0.0988945, 0, 0, 0, 0, -0.0423082, 0.063287, -0.0346579, -0.0393768, 0, 0.00129371
0.125, 0.243435, -0.484587, 1.9088, -3.94483, 0, -0.117875, 0, 0, 0, 0, -0.0429418, 0.0503215, -0.0276703, -0.0369192, 0, 0.00138311
0.15, 0.286586, -0.575501, 1.53323, -3.31151, 0, -0.105471, 0, 0, 0, 0, -0.0370023, 0.0438803, -0.0214918, -0.0345884, 0, 0.0012985
0.175, 0.319495, -0.649111, 1.09351, -2.5676, 0, -0.117091, 0, 0, 0, 0, -0.0261808, 0.0441602, -0.0164074, -0.0325292, 0, 0.00129537
0.2, 0.34122, -0.703876, 0.641342, -1.80819, 0, -0.138604, 0, 0, 0, 0, -0.0120825, 0.0490967, -0.0125474, -0.0308247, 0, 0.00135779
0.225, 0.351786, -0.739973, 0.202692, -1.07685, 0, -0.110993, 0, 0, 0, 0, 0.00388003, 0.0570174, -0.00992684, -0.0295386, 0, 0.00128796
0.25, 0.35093, -0.756834, -0.270345, -0.271955, 0, -0.0968809, 0, 0, 0, 0, 0.0205437, 0.0683215, -0.00849883, -0.0287387, 0, 0.00133167
0.275, 0.338141, -0.753198, -0.750308, 0.561168, 0, -0.343921, 0, 0, 0, 0, 0.0368332, 0.0810081, -0.0081636, -0.0283467, 0, 0.00236559
0.3, 0.317292, -0.736195, -0.913329, 0.794129, 0, -0.244058, 0, 0, 0, 0, 0.0517209, 0.0858524, -0.00878318, -0.0282388, 0, 0.00213085
0.325, 0.291195, -0.710801, -1.16926, 1.23139, 0, -0.262677, 0, 0, 0, 0, 0.0640487, 0.0933761, -0.0101476, -0.028395, 0, 0.00221854
0.35, 0.259412, -0.67555, -1.36673, 1.58009, 0, -0.213699, 0, 0, 0, 0, 0.0731121, 0.0992852, -0.0120807, -0.0287712, 0, 0.00200067
0.375, 0.222455, -0.630773, -1.58203, 1.99148, 0, -0.190129, 0, 0, 0, 0, 0.078486, 0.105072, -0.0143561, -0.02933, 0, 0.00182746
0.4, 0.180364, -0.575835, -1.77583, 2.3901, 0, -0.168755, 0, 0, 0, 0, 0.0801999, 0.109412, -0.0167565, -0.0300194, 0, 0.00165345
0.425, 0.133825, -0.511337, -1.93616, 2.75282, 0, -0.147554, 0, 0, 0, 0, 0.0786179, 0.111766, -0.0190646, -0.0307753, 0, 0.00149647
0.45, 0.0838009, -0.438431, -2.05275, 3.05889, 0, -0.126006, 0, 0, 0, 0, 0.0743877, 0.111786, -0.0210845, -0.0315281, 0, 0.00137462
0.475, 0.0315097, -0.358792, -2.11571, 3.28768, 0, -0.103326, 0, 0, 0, 0, 0.0683477, 0.109336, -0.0226566, -0.0322102, 0, 0.00129689
0.5, -0.0216068, -0.27457, -2.11724, 3.42223, 0, -0.0783313, 0, 0, 0, 0, 0.0614223, 0.104576, -0.0236735, -0.032767, 0, 0.00125957
0.525, -0.0739653, -0.188237, -2.05419, 3.45445, 0, -0.04995, 0, 0, 0, 0, 0.0545183, 0.0979969, -0.0240958, -0.0331701, 0, 0.00124756
0.55, -0.123979, -0.102322, -1.92967, 3.38843, 0, -0.0178535, 0, 0, 0, 0, 0.0484317, 0.0903502, -0.0239625, -0.0334269, 0, 0.00123973
0.575, -0.170213, -0.01911, -1.7527, 3.23963, 0, 0.0172473, 0, 0, 0, 0, 0.0437696, 0.0824566, -0.0233875, -0.0335817, 0, 0.0012158
0.6, -0.211504, 0.0595899, -1.53586, 3.03013, 0, 0.0537638, 0, 0, 0, 0, 0.0408972, 0.0749808, -0.0225406, -0.0337051, 0, 0.00116159
0.625, -0.247014, 0.132534, -1.29221, 2.7825, 0, 0.0896739, 0, 0, 0, 0, 0.0399169, 0.0682927, -0.021616, -0.0338766, 0, 0.00107095
0.65, -0.276211, 0.198995, -1.03295, 2.515, 0, 0.122968, 0, 0, 0, 0, 0.040679, 0.0624573, -0.0208003, -0.034165, 0, 0.00094474
0.675, -0.298808, 0.258626, -0.76623, 2.23945, 0, 0.151926, 0, 0, 0, 0, 0.0428154, 0.0573229, -0.0202469, -0.0346139, 0, 0.000788377
0.7, -0.314683, 0.311297, -0.497215, 1.96123, 0, 0.175235, 0, 0, 0, 0, 0.0457853, 0.0526394, -0.0200596, -0.0352322, 0, 0.000609448
0.725, -0.323815, 0.356946, -0.228644, 1.68061, 0, 0.192013, 0, 0, 0, 0, 0.0489282, 0.0481611, -0.0202824, -0.0359906, 0, 0.000416013
0.75, -0.326229, 0.395479, 0.0383001, 1.39449, 0, 0.201803, 0, 0, 0, 0, 0.0515263, 0.0437164, -0.0208941, -0.0368226, 0, 0.000215708
0.775, -0.321975, 0.426699, 0.303153, 1.09813, 0, 0.204534, 0, 0, 0, 0, 0.0528802, 0.0392407, -0.0218069, -0.0376298, 0, 1.54635e-05
0.8, -0.311109, 0.450291, 0.565453, 0.786707, 0, 0.200481, 0, 0, 0, 0, 0.0524014, 0.0347827, -0.0228689, -0.0382911, 0, -0.0001785
0.825, -0.293708, 0.465832, 0.824211, 0.456479, 0, 0.190212, 0, 0, 0, 0, 0.0497179, 0.0304895, -0.023875, -0.038677, 0, -0.000360676
0.85, -0.269884, 0.472828, 1.07755, 0.105697, 0, 0.17453, 0, 0, 0, 0, 0.0447772, 0.026581, -0.0245864, -0.038666, 0, -0.000526449
0.875, -0.23981, 0.470775, 1.32252, -0.264769, 0, 0.154395, 0, 0, 0, 0, 0.0379272, 0.0233216, -0.024759, -0.038162, 0, -0.000672427
0.9, -0.203747, 0.45923, 1.55503, -0.651021, 0, 0.130822, 0, 0, 0, 0, 0.0299468, 0.0209934, -0.0241774, -0.0371095, 0, -0.000796791
0.925, -0.16207, 0.437884, 1.76988, -1.04599, 0, 0.104758, 0, 0, 0, 0, 0.0220098, 0.0198762, -0.0226891, -0.0355016, 0, -0.000899477
0.95, -0.115299, 0.406645, 1.961, -1.43955, 0, 0.0769597, 0, 0, 0, 0, 0.0155731, 0.0202322, -0.0202329, -0.0333825, 0, -0.000982018
0.975, -0.0641098, 0.365702, 2.1217, -1.81909, 0, 0.0478982, 0, 0, 0, 0, 0.0122016, 0.0222919, -0.0168577, -0.0308433, 0, -0.00104698
1, -0.00935083, 0.315585, 2.24513, -2.1704, 0, 0.0177226, 0, 0, 0, 0, 0.0133479, 0.0262372, -0.0127312, -0.0280162, 0, -0.00109708
1.025, 0.0479661, 0.257177, 2.32497, -2.47926, 0, -0.0136982, 0, 0, 0, 0, 0.0201121, 0.0321773, -0.00813685, -0.0250696, 0, -0.00113417
1.05, 0.106686, 0.1917, 2.35624, -2.7333, 0, -0.0466609, 0, 0, 0, 0, 0.0330114, 0.0401145, -0.00345867, -0.0222027, 0, -0.00115844
1.075, 0.165555, 0.120636, 2.33617, -2.92416, 0, -0.0814706, 0, 0, 0, 0, 0.0517961, 0.0498983, 0.000850923, -0.0196373, 0, -0.00116825
1.1, 0.223287, 0.0456113, 2.26496, -3.04912, 0, -0.118296, 0, 0, 0, 0, 0.0753668, 0.0611704, 0.00432377, -0.0176013, 0, -0.00116058
1.125, 0.278639, -0.0317584, 2.14601, -3.11178, 0, -0.157086, 0, 0, 0, 0, 0.101841, 0.0733216, 0.00654613, -0.0163023, 0, -0.00113205
1.15, 0.330488, -0.110018, 1.98553, -3.1213, 0, -0.197575, 0, 0, 0, 0, 0.128789, 0.0854896, 0.00723145, -0.0158952, 0, -0.00108005
1.175, 0.377893, -0.187989, 1.79163, -3.09042, 0, -0.239336, 0, 0, 0, 0, 0.153591, 0.0966227, 0.00627345, -0.0164535, 0, -0.00100325
1.2, 0.420126, -0.264831, 1.57311, -3.03303, 0, -0.281844, 0, 0, 0, 0, 0.173808, 0.105602, 0.00376166, -0.0179552, 0, -0.000901666
1.225, 0.456674, -0.340039, 1.33831, -2.96181, 0, -0.324484, 0, 0, 0, 0, 0.187473, 0.111388, -4.26065e-05, -0.0202851, 0, -0.000776122
1.25, 0.487221, -0.413392, 1.09427, -2.88654, 0, -0.366507, 0, 0, 0, 0, 0.193235, 0.113143, -0.00475584, -0.0232504, 0, -0.000627795
1.275, 0.511601, -0.484865, 0.846192, -2.81302, 0, -0.406954, 0, 0, 0, 0, 0.190385, 0.110329, -0.00992786, -0.0266029, 0, -0.000458012
1.3, 0.529754, -0.554522, 0.597177, -2.74262, 0, -0.444598, 0, 0, 0, 0, 0.178828, 0.102764, -0.0150895, -0.0300616, 0, -0.000268467
1.325, 0.541669, -0.622405, 0.348287, -2.67239, 0, -0.477932, 0, 0, 0, 0, 0.159044, 0.090666, -0.0197896, -0.0333346, 0, -6.17985e-05
1.35, 0.547341, -0.688434, 0.0988134, -2.5955, 0, -0.505221, 0, 0, 0, 0, 0.132078, 0.0746714, -0.0236252, -0.0361431, 0, 0.000157667
1.375, 0.546729, -0.752318, -0.153196, -2.50212, 0, -0.524629, 0, 0, 0, 0, 0.0995294, 0.0558214, -0.0262732, -0.0382488, 0, 0.000383242
1.4, 0.539736, -0.813495, -0.410234, -2.38057, 0, -0.534408, 0, 0, 0, 0, 0.0634996, 0.0354823, -0.0275234, -0.039485, 0, 0.000605572
1.425, 0.526204, -0.871102, -0.674506, -2.21867, 0, -0.533149, 0, 0, 0, 0, 0.0264516, 0.0151968, -0.0273087, -0.0397837, 0, 0.000812977
1.45, 0.505935, -0.923985, -0.947098, -2.00517, 0, -0.520057, 0, 0, 0, 0, -0.00903191, -0.00351317, -0.0257211, -0.0391907, 0, 0.000992554
1.475, 0.478726, -0.970739, -1.22725, -1.73114, 0, -0.495213, 0, 0, 0, 0, -0.0405606, -0.0193466, -0.0230032, -0.03786, 0, 0.00113193
1.5, 0.444425, -1.00978, -1.51188, -1.3912, 0, -0.459754, 0, 0, 0, 0, -0.066242, -0.0313701, -0.0195129, -0.0360263, 0, 0.00122127
1.525, 0.402989, -1.03944, -1.79543, -0.984444, 0, -0.415904, 0, 0, 0, 0, -0.0849036, -0.0390834, -0.0156674, -0.0339615, 0, 0.0012551
1.55, 0.354544, -1.05812, -2.07008, -0.515117, 0, -0.366804, 0, 0, 0, 0, -0.0961797, -0.0424075, -0.0118816, -0.031928, 0, 0.0012334
1.575, 0.299434, -1.06436, -2.3264, 0.00721423, 0, -0.316144, 0, 0, 0, 0, -0.100462, -0.0416286, -0.00851623, -0.0301422, 0, 0.00116185
1.6, 0.238253, -1.05703, -2.55412, 0.567862, 0, -0.267647, 0, 0, 0, 0, -0.0987476, -0.0373299, -0.00584373, -0.0287534, 0, 0.00105128
1.625, 0.171849, -1.03541, -2.74309, 1.14763, 0, -0.2245, 0, 0, 0, 0, -0.0924318, -0.0303311, -0.00403326, -0.0278401, 0, 0.00091632
1.65, 0.101318, -0.999319, -2.88391, 1.72371, 0, -0.188827, 0, 0, 0, 0, -0.0830905, -0.0216351, -0.00315096, -0.0274182, 0, 0.000773815
1.675, 0.0279705, -0.949164, -2.96835, 2.27089, 0, -0.161326, 0, 0, 0, 0, -0.0722804, -0.0123677, -0.00316848, -0.0274531, 0, 0.000640752
1.7, -0.0466931, -0.885996, -2.9894, 2.76287, 0, -0.141122, 0, 0, 0, 0, -0.0613763, -0.00369503, -0.00397465, -0.0278719, 0, 0.000532105
1.725, -0.121016, -0.81151, -2.94132, 3.17425, 0, -0.125926, 0, 0, 0, 0, -0.0514555, 0.00329485, -0.00538768, -0.0285717, 0, 0.0004586
1.75, -0.193222, -0.727996, -2.82, 3.48307, 0, -0.112513, 0, 0, 0, 0, -0.0432311, 0.00774932, -0.00716916, -0.0294249, 0, 0.000424765
1.775, -0.26146, -0.638206, -2.6239, 3.67428, 0, -0.0974616, 0, 0, 0, 0, -0.0370302, 0.00922974, -0.0090432, -0.0302856, 0, 0.000427745
1.8, -0.323894, -0.545145, -2.35567, 3.7435, 0, -0.078007, 0, 0, 0, 0, -0.0328061, 0.007861, -0.0107251, -0.0310009, 0, 0.000457516
1.825, -0.378816, -0.451767, -2.02337, 3.69952, 0, -0.052721, 0, 0, 0, 0, -0.0301771, 0.00437106, -0.01196, -0.0314279, 0, 0.000498937
1.85, -0.424787, -0.360652, -1.64062, 3.56371, 0, -0.0217729, 0, 0, 0, 0, -0.0284909, -4.26687e-05, -0.012567, -0.0314562, 0, 0.000535366
1.875, -0.460755, -0.27374, -1.2248, 3.3656, 0, 0.0133266, 0, 0, 0, 0, -0.0269204, -0.00399631, -0.0124751, -0.0310294, 0, 0.000552592
1.9, -0.486118, -0.192212, -0.794089, 3.13601, 0, 0.0503318, 0, 0, 0, 0, -0.0245919, -0.00623205, -0.0117404, -0.0301598, 0, 0.000541511
1.925, -0.5007, -0.116533, -0.364395, 2.90062, 0, 0.0868994, 0, 0, 0, 0, -0.0207312, -0.00583551, -0.0105377, -0.0289329, 0, 0.000498677
1.95, -0.504677, -0.0466336, 0.052444, 2.67618, 0, 0.121004, 0, 0, 0, 0, -0.0148069, -0.00232219, -0.00913084, -0.0275003, 0, 0.000425148
1.975, -0.498465, 0.0178559, 0.449056, 2.4699, 0, 0.151062, 0, 0, 0, 0, -0.00663999, 0.00435916, -0.00782816, -0.0260636, 0, 0.000324706
2, -0.482615, 0.0773827, 0.821888, 2.28083, 0, 0.175863, 0, 0, 0, 0, 0.00354409, 0.0138506, -0.00693475, -0.0248475, 0, 0.000202362
2.025, -0.457734, 0.132295, 1.1701, 2.10225, 0, 0.194429, 0, 0, 0, 0, 0.0151396, 0.0254229, -0.00670858, -0.0240673, 0, 6.35171e-05
2.05, -0.424427, 0.182729, 1.49437, 1.92408, 0, 0.205916, 0, 0, 0, 0, 0.0272537, 0.0380473, -0.00732922, -0.0238956, 0, -8.62726e-05
2.075, -0.383277, 0.22855, 1.79585, 1.73515, 0, 0.209594, 0, 0, 0, 0, 0.0388429, 0.0505176, -0.00888269, -0.0244357, 0, -0.000241179
2.1, -0.33484, 0.269353, 2.07528, 1.52499, 0, 0.204909, 0, 0, 0, 0, 0.0488536, 0.0616111, -0.0113608, -0.0257072, 0, -0.000394881
2.125, -0.27967, 0.304496, 2.33229, 1.28543, 0, 0.191606, 0, 0, 0, 0, 0.0563366, 0.070252, -0.0146687, -0.0276449, 0, -0.000540505
